,date_cd,dong,temp,hum,redust,pm10,pm25,o3,no2,co,so2,buspop,stops,consts
244,20220502,신사동,18.0,28.0,29.0,52,25,0.038,0.016,0.4,0.003,35777,147,5
245,20220502,응암동,19.0,30.0,58.0,52,25,0.038,0.016,0.4,0.003,37294,103,5
246,20220526,역촌동,23.0,51.0,48.0,29,11,0.04,0.013,0.3,0.002,15108,30,6
247,20220526,진관동,22.0,50.0,33.0,29,11,0.04,0.013,0.3,0.002,24406,82,6
248,20220526,녹번동,22.0,41.0,27.0,29,11,0.04,0.013,0.3,0.002,14622,17,6
249,20220526,수색동,21.0,53.0,29.0,29,11,0.04,0.013,0.3,0.002,8248,17,6
250,20220526,신사동,23.0,41.0,22.0,29,11,0.04,0.013,0.3,0.002,37189,147,6
251,20220526,응암동,23.0,42.0,35.0,29,11,0.04,0.013,0.3,0.002,38710,103,6
252,20220704,역촌동,31.0,68.0,10.0,33,27,0.021,0.011,0.3,0.002,15489,30,15
253,20220704,진관동,33.0,71.0,16.0,33,27,0.021,0.011,0.3,0.002,24724,82,15
254,20220704,녹번동,32.0,61.0,1.0,33,27,0.021,0.011,0.3,0.002,14146,17,15
255,20220704,수색동,32.0,67.0,10.0,33,27,0.021,0.011,0.3,0.002,7910,17,15
256,20220704,신사동,32.0,61.0,1.0,33,27,0.021,0.011,0.3,0.002,37722,147,15
257,20220704,응암동,32.0,69.0,5.0,33,27,0.021,0.011,0.3,0.002,38586,103,15
258,20220803,역촌동,32.0,78.0,26.0,23,17,0.031,0.009,0.3,0.002,13719,30,20
259,20220803,진관동,31.0,77.0,12.0,23,17,0.031,0.009,0.3,0.002,21123,82,20
260,20220803,녹번동,31.0,76.0,7.0,23,17,0.031,0.009,0.3,0.002,12060,17,20
261,20220803,수색동,30.0,85.0,75.0,23,17,0.031,0.009,0.3,0.002,6819,17,20
262,20220803,신사동,30.0,77.0,12.0,23,17,0.031,0.009,0.3,0.002,34384,147,20
263,20220803,응암동,32.0,75.0,9.0,23,17,0.031,0.009,0.3,0.002,34341,103,20
264,20220916,역촌동,30.0,65.0,32.0,20,13,0.023,0.012,0.3,0.002,15940,30,24
265,20220916,진관동,30.0,67.0,13.0,20,13,0.023,0.012,0.3,0.002,25110,82,24
266,20220916,녹번동,30.0,61.0,12.0,20,13,0.023,0.012,0.3,0.002,15275,17,24
267,20220916,수색동,28.0,65.0,14.0,20,13,0.023,0.012,0.3,0.002,7921,17,24
268,20220916,신사동,31.0,60.0,11.0,20,13,0.023,0.012,0.3,0.002,39525,147,24
269,20220916,응암동,30.0,64.0,13.0,20,13,0.023,0.012,0.3,0.002,40492,103,24
270,20221021,역촌동,20.0,58.0,45.0,49,32,0.031,0.027,0.4,0.003,15308,30,25
271,20221021,진관동,18.0,53.0,16.0,49,32,0.031,0.027,0.4,0.003,25672,82,25
272,20221021,녹번동,18.0,43.0,3.0,49,32,0.031,0.027,0.4,0.003,14478,17,25
273,20221021,수색동,17.0,61.0,10.0,49,32,0.031,0.027,0.4,0.003,8188,17,25
274,20221021,신사동,18.0,45.0,5.0,49,32,0.031,0.027,0.4,0.003,37989,147,25
275,20221021,응암동,20.0,43.0,7.0,49,32,0.031,0.027,0.4,0.003,39019,103,25
276,20221125,역촌동,17.0,59.0,12.0,61,37,0.026,0.024,0.5,0.003,15136,30,32
277,20221125,진관동,15.0,61.0,15.0,61,37,0.026,0.024,0.5,0.003,24442,82,32
